date,R_cong_obs,curtail_payment,replacement,curtailed_MWh,binding_periods
2022-10-07,8686621.443257734,3078076.679953221,5608544.763304535,44422.075554078,48
2022-10-08,607497.2714554259,160900.1669655734,446597.1044898524,2704.1643321513,48
2022-10-09,14253035.43636607,4992297.403056149,9260738.033309909,71159.96041666667,48
2022-10-10,7188515.212246385,2279081.1832916713,4909434.028954728,33462.64236111111,48
2022-10-11,700645.4372503152,155101.38132276898,545544.055927547,2633.9573335303453,48
2022-10-12,2509734.5303650694,719626.6575624996,1790107.8728025667,10904.685416666665,23
2022-10-13,1115008.8073787482,293947.0815830749,821061.7257956732,4917.30043218085,48
2022-10-14,999130.3755951938,355813.1429999995,643317.2325951934,5071.050694444447,12
2022-10-15,1250614.3662083333,418898.4355624994,831715.9306458337,6644.506249999992,34
2022-10-16,2060204.315500001,781059.6436666657,1279144.6718333336,12111.974999999991,21
2022-10-17,400333.7508182193,143527.04464125287,256806.70617696652,2631.964552551221,48
2022-10-18,123074.22959722218,56495.6184861111,66578.61111111112,1109.6435185185182,10
2022-10-19,106895.10069824911,53021.166879543416,53873.933818705664,895.4303708628842,48
2022-10-20,1290987.626525759,482233.11511111,808754.51141465,8274.451388888892,30
2022-10-21,0.0,0.0,0.0,0.0,0
2022-10-22,0.0,0.0,0.0,0.0,0
2022-10-23,0.0,0.0,0.0,0.0,0
2022-10-24,6589.961916666667,3536.461916666666,3053.5,50.891666666666666,4
2022-10-25,31810.959588541667,15101.663614583333,16709.29597395833,253.58593749999997,48
2022-10-26,4796745.186183542,2448106.9164704806,2348638.269713051,36744.41073495369,48
2022-10-27,1637286.7607334882,821726.078361111,815560.6823723753,12348.25,29
2022-10-28,3883026.608374993,1757149.2603333327,2125877.3480416634,25400.802083333292,45
2022-10-29,879290.7619838801,351135.81027480424,528154.9517090761,6022.625016622342,48
2022-10-30,5857213.912101846,2444626.6003171243,3412587.3117847224,38478.34606481475,49
2022-10-31,5106674.751232272,1697748.0153880585,3408926.73584422,28177.465727324212,50
2022-11-01,488586.290395833,196372.76604166665,292213.5243541666,3352.981249999999,20
2022-11-02,5140786.439046965,2205765.3744930504,2935021.0645539095,32939.380555555595,48
2022-11-03,3230901.859809696,1404970.4980702722,1825931.3617394227,20046.663641647006,48
2022-11-04,248273.77433333348,87413.95641666664,160859.81791666677,1503.4083333333335,18
2022-11-05,0.0,0.0,0.0,0.0,0
2022-11-06,1425.105583333333,624.9777777777778,800.1278055555555,7.022222222222221,10
2022-11-07,1807239.5770644513,725992.4240338348,1081247.153030616,11947.151438140281,38
2022-11-08,2741866.6702047656,1306558.5676508534,1435308.1025539306,18972.689767410466,48
2022-11-09,3936385.7281415607,1532979.321868056,2403406.406273498,24311.724305555534,40
2022-11-10,12515406.222674878,5863624.840321959,6651781.382352941,83270.13832126738,48
2022-11-11,7122606.440569987,3271111.323157062,3851495.1174128447,45542.86852036538,48
2022-11-12,37.27166666666667,12.739833333333332,24.531833333333335,0.18333333333333332,1
2022-11-13,944401.096082145,256980.94654861125,687420.1495335342,4630.077083333334,31
2022-11-14,3874356.543096605,1361112.400868052,2513244.142228559,21412.859895833317,48
2022-11-15,6678145.437859661,2869477.0498593007,3808668.3880003258,36383.06780621996,48
2022-11-16,519880.2783680554,173817.4440416666,346062.834326389,2289.4687499999995,21
2022-11-17,1967723.6439558668,630340.6224826352,1337383.021473228,11239.351041666676,48
2022-11-18,4090247.336310763,1217151.005100689,2873096.3312100708,21135.64531250006,48
2022-11-19,2698993.723635729,1126681.6867465295,1572312.0368892057,18449.788368055488,48
2022-11-20,1270839.9288652914,581169.5611353694,689670.367729927,9405.284621872528,48
2022-11-21,0.0,0.0,0.0,0.0,0
2022-11-22,0.0,0.0,0.0,0.0,0
2022-11-23,644011.3329576663,196328.91709027768,447682.4158673881,4054.4347222222236,20
2022-11-24,4776910.700893575,1482594.4742864138,3294316.226607152,24675.382230102445,48
2022-11-25,5561761.877352479,1710421.3764306845,3851340.5009218245,26447.935188879073,48
2022-11-26,5193791.647006256,1722497.3991597213,3471294.247846541,26487.072916666646,48
2022-11-27,3670310.5962109347,1223887.2073838147,2446423.3888271274,19582.81934963556,48
2022-11-28,93297.76012055535,15441.292692708357,77856.46742784712,428.4322916666668,48
2022-11-29,0.0,0.0,0.0,0.0,0
2022-11-30,4863.373166666666,759.9,4103.473166666667,11.499999999999998,7
2022-12-01,2720.1980312500004,729.9854166666667,1990.2126145833338,8.20208333333333,12
2022-12-02,0.0,0.0,0.0,0.0,0
2022-12-03,2153783.955479167,391214.93654166633,1762569.0189375004,6080.183333333332,15
2022-12-04,0.0,0.0,0.0,0.0,0
2022-12-05,0.0,0.0,0.0,0.0,0
2022-12-06,76490.15808333331,13404.618333333334,63085.53974999999,239.42500000000007,7
2022-12-07,0.0,0.0,0.0,0.0,0
2022-12-08,204199.2225,31990.493000000002,172208.72949999996,529.6916666666666,11
2022-12-09,274672.1525337489,48701.639802083315,225970.51273166545,791.1565104166665,28
2022-12-10,0.0,0.0,0.0,0.0,0
2022-12-11,0.0,0.0,0.0,0.0,0
2022-12-12,0.0,0.0,0.0,0.0,0
2022-12-13,0.0,0.0,0.0,0.0,0
2022-12-14,747163.2170138888,88606.54519444442,658556.6718194443,1579.9180555555552,10
2022-12-15,0.0,0.0,0.0,0.0,0
2022-12-16,0.0,0.0,0.0,0.0,0
2022-12-17,0.0,0.0,0.0,0.0,0
2022-12-18,920109.5014805892,151846.71216666664,768262.789313923,3116.536805555558,24
2022-12-19,4554726.2236498995,863163.1520619817,3691563.071587932,17314.62817302004,48
2022-12-20,4079886.5810099347,1080844.19933808,2999042.381671864,19601.152295114196,48
2022-12-21,3706004.495893561,908463.8516111096,2797540.6442824467,14753.192766203782,48
2022-12-22,0.0,0.0,0.0,0.0,0
2022-12-23,15435.383333333333,4704.916666666666,10730.466666666667,72.38333333333333,2
2022-12-24,21658.185083333334,5042.847333333333,16615.33775,108.56666666666666,3
2022-12-25,0.0,0.0,0.0,0.0,0
2022-12-26,0.0,0.0,0.0,0.0,0
2022-12-27,0.0,0.0,0.0,0.0,0
2022-12-28,0.0,0.0,0.0,0.0,0
2022-12-29,0.0,0.0,0.0,0.0,0
2022-12-30,1386227.0204305546,607065.7294930564,779161.2909375003,10161.92708333333,21
2022-12-31,172349.2364670139,88294.72545138905,84054.51101562494,1180.9301504629632,48
2023-01-01,0.0,0.0,0.0,0.0,0
2023-01-02,0.0,0.0,0.0,0.0,0
2023-01-03,428984.61567361146,114521.82316666668,314462.7925069445,2010.6854166666672,23
2023-01-04,8693.511999999999,3044.1399999999994,5649.3719999999985,57.6,2
2023-01-05,942870.3175312009,328966.96159027744,613903.3559409234,5364.229861111109,16
2023-01-06,3227312.7466721213,1151652.5299895848,2075660.216682536,18549.917447916585,48
2023-01-07,1601417.5467569456,703519.497979168,897898.0487777779,11211.597222222226,20
2023-01-08,3630307.4141420666,1532857.974090273,2097449.4400517936,23991.161574074024,48
2023-01-09,199591.82640021184,46575.81958333333,153016.0068168785,1095.0993055555557,11
2023-01-10,711738.491277778,282490.5499166663,429247.94136111054,4590.838888888883,17
2023-01-11,3860518.6896953285,1575518.6660538183,2285000.023641491,23470.608738425908,48
2023-01-12,0.0,0.0,0.0,0.0,0
2023-01-13,104976.53525,43828.310583333354,61148.22466666666,880.2208333333336,7
2023-01-14,44331.17687442088,22402.30844444445,21928.86842997643,319.1611111111112,5
2023-01-15,400587.6826091208,209343.4080763888,191244.27453273174,2957.4684027777757,48
2023-01-16,96759.72298544658,32026.521,64733.2019854466,515.9625,12
2023-01-17,1020260.1187722309,286202.40308333363,734057.7156888972,4849.584722222226,26
2023-01-18,403346.9248547706,87322.62979774293,316024.2950570276,2144.0194155092595,48
2023-01-19,728165.9860416657,167026.273625,561139.712416666,2800.943750000002,27
2023-01-20,0.0,0.0,0.0,0.0,0
2023-01-21,1628328.325498464,460562.73571527825,1167765.589783184,7367.412847222218,48
2023-01-22,1370645.1067512103,435377.3745781253,935267.7321730858,6983.412499999997,48
2023-01-23,629752.6551874996,147420.77041666658,482331.884770833,2460.3791666666657,27
2023-01-24,558307.1448723038,145730.70920833334,412576.4356639704,2472.7249999999985,18
2023-01-25,1679368.2285394783,499740.43723919475,1179627.7913002856,8305.982585328004,48
2023-01-26,0.0,0.0,0.0,0.0,0
2023-01-27,8043.13275,2266.875,5776.25775,34.875,5
2023-01-28,9445.762279418059,2543.9416666666666,6901.820612751391,49.016666666666666,2
2023-01-29,7025962.216145011,2380200.99123612,4645761.224908921,38090.37916666669,41
2023-01-30,5133295.630802822,1802667.1189370353,3330628.5118657895,27194.90106259856,48
2023-01-31,8353879.971448646,2875904.0120674167,5477975.95938124,45396.03313078733,48
2023-02-01,5211937.385360073,1998865.568161679,3213071.81719841,30025.472903122503,48
2023-02-02,4459403.62108122,1389259.3029236102,3070144.318157606,22288.099305555537,35
2023-02-03,2671978.718284675,1054703.3547366883,1617275.3635479899,16306.612123842593,48
2023-02-04,2421383.0625055437,753991.3446180567,1667391.7178874868,11687.46319444444,34
2023-02-05,521808.0943777785,146269.71159027767,375538.38278750057,2906.933767361111,48
2023-02-06,227253.32312568018,49702.85868055552,177550.46444512458,1031.1996527777776,48
2023-02-07,15027.534660312569,4511.8385,10515.696160312567,70.85833333333333,5
2023-02-08,4893156.309181696,1518860.049055557,3374296.260126149,23468.413888888834,46
2023-02-09,4578514.520560638,1355300.823842875,3223213.696717736,21129.792766203736,48
2023-02-10,4902588.807753918,1523652.9885613455,3378935.8191925674,23770.224016203672,48
2023-02-11,830287.7416056625,291576.1038784719,538711.6377271904,5010.130902777786,48
2023-02-12,0.0,0.0,0.0,0.0,0
